Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID,pub_id,quartile,quartile_match,author_id_list,author_id,DOCENTE,CODIGO,ESCUELA
"Martinez, E.; Cuadrado, J.; Martinez-Santos, J.C.; Puertas, E.","Martinez, Elizabeth (58459662800); Cuadrado, Juan (57422728000); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",58459662800; 57422728000; 26325154200; 57202285682,Automated Detection of Depression and Anxiety Using Lexical and Phonestheme Features in Spanish Texts,2024,CEUR Workshop Proceedings,3756,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204387145&partnerID=40&md5=bf0a1e492b7cc2d1f7b17b7a12b21d16,16130073,9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X,,Conference paper,Final,,Scopus,2-s2.0-85204387145,2-s2.0-85204387145,SQ,none,"['58459662800', '57422728000', '26325154200', '57202285682']",26325154200,JUAN CARLOS MARTINEZ SANTOS,T00000254,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Martinez, E.; Cuadrado, J.; Martinez-Santos, J.C.; Puertas, E.","Martinez, Elizabeth (58459662800); Cuadrado, Juan (57422728000); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",58459662800; 57422728000; 26325154200; 57202285682,Automated Detection of Depression and Anxiety Using Lexical and Phonestheme Features in Spanish Texts,2024,CEUR Workshop Proceedings,3756,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204387145&partnerID=40&md5=bf0a1e492b7cc2d1f7b17b7a12b21d16,16130073,9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X,,Conference paper,Final,,Scopus,2-s2.0-85204387145,2-s2.0-85204387145,SQ,none,"['58459662800', '57422728000', '26325154200', '57202285682']",57202285682,EDWIN ALEXANDER PUERTAS DEL CASTILLO,T00008436,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Gonzalez-Henao, R.D.; Marrugo-Tobón, D.A.; Martinez-Santos, J.C.; Puertas, E.","Gonzalez-Henao, Roger David (59334029100); Marrugo-Tobón, Duvan Andres (57221469260); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",59334029100; 57221469260; 26325154200; 57202285682,VerbaNexAI Lab at HOMO-MEX 2024: Multiclass and Multilabel Detection of LGBTQ+ Phobic Content Using Transformers,2024,CEUR Workshop Proceedings,3756,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204355242&partnerID=40&md5=1b3dc79007f74caac24c52c961428078,16130073,9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X,,Conference paper,Final,,Scopus,2-s2.0-85204355242,2-s2.0-85204355242,SQ,none,"['59334029100', '57221469260', '26325154200', '57202285682']",26325154200,JUAN CARLOS MARTINEZ SANTOS,T00000254,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Gonzalez-Henao, R.D.; Marrugo-Tobón, D.A.; Martinez-Santos, J.C.; Puertas, E.","Gonzalez-Henao, Roger David (59334029100); Marrugo-Tobón, Duvan Andres (57221469260); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",59334029100; 57221469260; 26325154200; 57202285682,VerbaNexAI Lab at HOMO-MEX 2024: Multiclass and Multilabel Detection of LGBTQ+ Phobic Content Using Transformers,2024,CEUR Workshop Proceedings,3756,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204355242&partnerID=40&md5=1b3dc79007f74caac24c52c961428078,16130073,9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X,,Conference paper,Final,,Scopus,2-s2.0-85204355242,2-s2.0-85204355242,SQ,none,"['59334029100', '57221469260', '26325154200', '57202285682']",57202285682,EDWIN ALEXANDER PUERTAS DEL CASTILLO,T00008436,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Cuadrado-Jiménez, Z.L.; Restrepo-Martínez, E.C.; Berrio-Bracamonte, K.A.; Acevedo-Barrios, R.; Chavarro-Mesa, E.; Rubiano-Labrador, C.; Ariza-Rúa, D.L.; Patiño, A.","Cuadrado-Jiménez, Zary Luz (59326405300); Restrepo-Martínez, Eyleen Carolina (59325693600); Berrio-Bracamonte, Kevin Antonio (59326042200); Acevedo-Barrios, R. L. (56674579200); Chavarro-Mesa, Edisson (57188841051); Rubiano-Labrador, Carolina (55649334800); Ariza-Rúa, Danilo Lusbin (58618811100); Patiño, Alberto (57190688459)",59326405300; 59325693600; 59326042200; 56674579200; 57188841051; 55649334800; 58618811100; 57190688459,Color segmentation to measure the percentage of the affected area in leaves with signs of chlorosis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203847920&doi=10.18687%2FLACCEI2024.1.1.1113&partnerID=40&md5=5f7fc6ac55c573ea69d66055fd42b399,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203847920,2-s2.0-85203847920,SQ,none,"['59326405300', '59325693600', '59326042200', '56674579200', '57188841051', '55649334800', '58618811100', '57190688459']",56674579200,ROSA LEONOR ACEVEDO BARRIOS,T00020729,CIENCIAS BÁSICAS
"Cuadrado-Jiménez, Z.L.; Restrepo-Martínez, E.C.; Berrio-Bracamonte, K.A.; Acevedo-Barrios, R.; Chavarro-Mesa, E.; Rubiano-Labrador, C.; Ariza-Rúa, D.L.; Patiño, A.","Cuadrado-Jiménez, Zary Luz (59326405300); Restrepo-Martínez, Eyleen Carolina (59325693600); Berrio-Bracamonte, Kevin Antonio (59326042200); Acevedo-Barrios, R. L. (56674579200); Chavarro-Mesa, Edisson (57188841051); Rubiano-Labrador, Carolina (55649334800); Ariza-Rúa, Danilo Lusbin (58618811100); Patiño, Alberto (57190688459)",59326405300; 59325693600; 59326042200; 56674579200; 57188841051; 55649334800; 58618811100; 57190688459,Color segmentation to measure the percentage of the affected area in leaves with signs of chlorosis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203847920&doi=10.18687%2FLACCEI2024.1.1.1113&partnerID=40&md5=5f7fc6ac55c573ea69d66055fd42b399,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203847920,2-s2.0-85203847920,SQ,none,"['59326405300', '59325693600', '59326042200', '56674579200', '57188841051', '55649334800', '58618811100', '57190688459']",57188841051,EDISSON CHAVARRO MESA,T00053267,CIENCIAS BÁSICAS
"Cuadrado-Jiménez, Z.L.; Restrepo-Martínez, E.C.; Berrio-Bracamonte, K.A.; Acevedo-Barrios, R.; Chavarro-Mesa, E.; Rubiano-Labrador, C.; Ariza-Rúa, D.L.; Patiño, A.","Cuadrado-Jiménez, Zary Luz (59326405300); Restrepo-Martínez, Eyleen Carolina (59325693600); Berrio-Bracamonte, Kevin Antonio (59326042200); Acevedo-Barrios, R. L. (56674579200); Chavarro-Mesa, Edisson (57188841051); Rubiano-Labrador, Carolina (55649334800); Ariza-Rúa, Danilo Lusbin (58618811100); Patiño, Alberto (57190688459)",59326405300; 59325693600; 59326042200; 56674579200; 57188841051; 55649334800; 58618811100; 57190688459,Color segmentation to measure the percentage of the affected area in leaves with signs of chlorosis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203847920&doi=10.18687%2FLACCEI2024.1.1.1113&partnerID=40&md5=5f7fc6ac55c573ea69d66055fd42b399,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203847920,2-s2.0-85203847920,SQ,none,"['59326405300', '59325693600', '59326042200', '56674579200', '57188841051', '55649334800', '58618811100', '57190688459']",55649334800,DIANA CAROLINA RUBIANO LABRADOR,T00049553,CIENCIAS BÁSICAS
"Cuadrado-Jiménez, Z.L.; Restrepo-Martínez, E.C.; Berrio-Bracamonte, K.A.; Acevedo-Barrios, R.; Chavarro-Mesa, E.; Rubiano-Labrador, C.; Ariza-Rúa, D.L.; Patiño, A.","Cuadrado-Jiménez, Zary Luz (59326405300); Restrepo-Martínez, Eyleen Carolina (59325693600); Berrio-Bracamonte, Kevin Antonio (59326042200); Acevedo-Barrios, R. L. (56674579200); Chavarro-Mesa, Edisson (57188841051); Rubiano-Labrador, Carolina (55649334800); Ariza-Rúa, Danilo Lusbin (58618811100); Patiño, Alberto (57190688459)",59326405300; 59325693600; 59326042200; 56674579200; 57188841051; 55649334800; 58618811100; 57190688459,Color segmentation to measure the percentage of the affected area in leaves with signs of chlorosis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203847920&doi=10.18687%2FLACCEI2024.1.1.1113&partnerID=40&md5=5f7fc6ac55c573ea69d66055fd42b399,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203847920,2-s2.0-85203847920,SQ,none,"['59326405300', '59325693600', '59326042200', '56674579200', '57188841051', '55649334800', '58618811100', '57190688459']",58618811100,DANILO LUSBIN ARIZA RUA,T00000083,CIENCIAS BÁSICAS
"Cuadrado-Jiménez, Z.L.; Restrepo-Martínez, E.C.; Berrio-Bracamonte, K.A.; Acevedo-Barrios, R.; Chavarro-Mesa, E.; Rubiano-Labrador, C.; Ariza-Rúa, D.L.; Patiño, A.","Cuadrado-Jiménez, Zary Luz (59326405300); Restrepo-Martínez, Eyleen Carolina (59325693600); Berrio-Bracamonte, Kevin Antonio (59326042200); Acevedo-Barrios, R. L. (56674579200); Chavarro-Mesa, Edisson (57188841051); Rubiano-Labrador, Carolina (55649334800); Ariza-Rúa, Danilo Lusbin (58618811100); Patiño, Alberto (57190688459)",59326405300; 59325693600; 59326042200; 56674579200; 57188841051; 55649334800; 58618811100; 57190688459,Color segmentation to measure the percentage of the affected area in leaves with signs of chlorosis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203847920&doi=10.18687%2FLACCEI2024.1.1.1113&partnerID=40&md5=5f7fc6ac55c573ea69d66055fd42b399,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203847920,2-s2.0-85203847920,SQ,none,"['59326405300', '59325693600', '59326042200', '56674579200', '57188841051', '55649334800', '58618811100', '57190688459']",57190688459,ALBERTO PATIÑO VANEGAS,T00019348,CIENCIAS BÁSICAS
"Barcenas-Ascanio, E.; Cardenas-Rodriguez, E.; Cardenas-Escobar, A.Z.C.; Marrugo-Salas, L.","Barcenas-Ascanio, E. (59325335600); Cardenas-Rodriguez, E. (59325691700); Cardenas-Escobar, Alba Zulay (57930948900); Marrugo-Salas, Lina Margarita (57392556500)",59325335600; 59325691700; 57930948900; 57392556500,Ethical banking and SDGs: A mixed review of the literature; Banca ética y ODS: Una revisión mixta de la literatura,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1325,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203845484&doi=10.18687%2FLACCEI2024.1.1.1325&partnerID=40&md5=5a66a3b5edfdd4590b03367bc7021346,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203845484,2-s2.0-85203845484,SQ,none,"['59325335600', '59325691700', '57930948900', '57392556500']",57392556500,LINA MARGARITA MARRUGO SALAS,T00014731,"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD"
"Manuel Luna, F.; Raúl, P.; Gualdrón, G.; Villa, J.L.","Manuel Luna, Francisco (59326215800); Raúl, Padrón C. (57211351906); Gualdrón, Carlos G. (57215557867); Villa, J. L. (7005142049)",59326215800; 57211351906; 57215557867; 7005142049,"Key factors that influence the integrated management of portfolios, programs, and projects in organizations",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203844155&doi=10.18687%2FLACCEI2024.1.1.1497&partnerID=40&md5=149b55ffc761af4322166c3ed4d94e18,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203844155,2-s2.0-85203844155,SQ,none,"['59326215800', '57211351906', '57215557867', '7005142049']",7005142049,JOSE LUIS VILLA RAMIREZ,T00000068,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Martínez-Palomino, O.S.M.; Del Rio Cortina, J.L.; Caballero Lamadrid, J.; Angélica Pérez Beltrán, M.","Martínez-Palomino, Oriana Susana (58620428800); Del Rio Cortina, Jorge Luis (57197807415); Caballero Lamadrid, Joseph (59326057300); Angélica Pérez Beltrán, María (59325175800)",58620428800; 57197807415; 59326057300; 59325175800,Knowledge management and its importance in strengthening organizational results and business competitiveness: literary review; La gestión del conocimiento y su importancia en el fortalecimiento de los resultados organizacionales y la competitividad empresarial: revisión literaria,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203837017&doi=10.18687%2FLACCEI2024.1.1.1433&partnerID=40&md5=f0479aec0f01c0700d9b204f2c755d0b,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203837017,2-s2.0-85203837017,SQ,none,"['58620428800', '57197807415', '59326057300', '59325175800']",57197807415,JORGE LUIS DEL RIO CORTINA,T00000413,"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD"
"Cardenas-Escobar, A.Z.C.; Gazabón Arrieta, F.; Mendoza Díaz, A.; Ospina-Mateus, H.","Cardenas-Escobar, Alba Zulay (57930948900); Gazabón Arrieta, Fabian (57202852177); Mendoza Díaz, Armando (57931099400); Ospina-Mateus, Holman (57194034904)",57930948900; 57202852177; 57931099400; 57194034904,Impact of Knowledge in Linear Algebra on Academic Performance in Quantitative Optimization Methods: A Data Analytical Approach; Impacto del Conocimiento en Álgebra Lineal en el Desempeño Académico en Métodos Cuantitativos de Optimización: Un Enfoque Analítico de Datos,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1831,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203836796&doi=10.18687%2FLACCEI2024.1.1.1831&partnerID=40&md5=befb0ef894fa3f3db3b7922dd06af4c9,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203836796,2-s2.0-85203836796,SQ,none,"['57930948900', '57202852177', '57931099400', '57194034904']",57194034904,HOLMAN OSPINA MATEUS,T00014261,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Marrugo-Salas, L.; Martínez-Palomino, O.S.M.","Marrugo-Salas, Lina Margarita (57392556500); Martínez-Palomino, Oriana Susana (58620428800)",57392556500; 58620428800,Forging My Own Pages: A Strategy to Awaken Self-awareness and Creativity; Forjando mis propias páginas: una estrategia para despertar el autoconocimiento y la creatividad,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203836402&doi=10.18687%2FLACCEI2024.1.1.1381&partnerID=40&md5=df417cb1f171c40f82a2a3f7b4f15d84,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203836402,2-s2.0-85203836402,SQ,none,"['57392556500', '58620428800']",57392556500,LINA MARGARITA MARRUGO SALAS,T00014731,"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD"
"Vásquez, J.; Castillo, D.; Rodriguez-Jaraba, C.; Soto-DelaVega, M.; Puertas, E.","Vásquez, Jenifer (57205400052); Castillo, Daniela (59325842400); Rodriguez-Jaraba, Carlos (59325494500); Soto-DelaVega, Manuel (57291105700); Puertas, Edwin (57202285682)",57205400052; 59325842400; 59325494500; 57291105700; 57202285682,Assessment of the Level of Digital Maturity Through a Process Analysis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203833232&doi=10.18687%2FLACCEI2024.1.1.1807&partnerID=40&md5=ab6523ff4224d785db016249c3722882,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203833232,2-s2.0-85203833232,SQ,none,"['57205400052', '59325842400', '59325494500', '57291105700', '57202285682']",57205400052,JENIFER YORIS VASQUEZ AGUILAR,T00012602,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Vásquez, J.; Castillo, D.; Rodriguez-Jaraba, C.; Soto-DelaVega, M.; Puertas, E.","Vásquez, Jenifer (57205400052); Castillo, Daniela (59325842400); Rodriguez-Jaraba, Carlos (59325494500); Soto-DelaVega, Manuel (57291105700); Puertas, Edwin (57202285682)",57205400052; 59325842400; 59325494500; 57291105700; 57202285682,Assessment of the Level of Digital Maturity Through a Process Analysis,2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1807,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203833232&doi=10.18687%2FLACCEI2024.1.1.1807&partnerID=40&md5=ab6523ff4224d785db016249c3722882,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203833232,2-s2.0-85203833232,SQ,none,"['57205400052', '59325842400', '59325494500', '57291105700', '57202285682']",57202285682,EDWIN ALEXANDER PUERTAS DEL CASTILLO,T00008436,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Díaz-Mendoza, C.; Acevedo-Barrios, R.; Rubiano-Labrador, C.; Mouthón-Bello, J.; Botero, C.M.; Caranza-López, L.; Quiñonez-Flórez, A.; Chavarro-Mesa, E.","Díaz-Mendoza, Claudia (55258973100); Acevedo-Barrios, R. L. (56674579200); Rubiano-Labrador, Carolina (55649334800); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Caranza-López, Liliana (59325507700); Quiñonez-Flórez, Andrea (59325857800); Chavarro-Mesa, Edisson (57188841051)",55258973100; 56674579200; 55649334800; 8693393400; 55851674100; 59325507700; 59325857800; 57188841051,"Cigarette butts, emerging residue on beaches and potential niche of microbiological resources",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203832068&doi=10.18687%2FLACCEI2024.1.1.830&partnerID=40&md5=a6428c33e4d925ff119a0f35b39b6d4d,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203832068,2-s2.0-85203832068,SQ,none,"['55258973100', '56674579200', '55649334800', '8693393400', '55851674100', '59325507700', '59325857800', '57188841051']",55258973100,CLAUDIA PATRICIA DIAZ MENDOZA,T00059175,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Díaz-Mendoza, C.; Acevedo-Barrios, R.; Rubiano-Labrador, C.; Mouthón-Bello, J.; Botero, C.M.; Caranza-López, L.; Quiñonez-Flórez, A.; Chavarro-Mesa, E.","Díaz-Mendoza, Claudia (55258973100); Acevedo-Barrios, R. L. (56674579200); Rubiano-Labrador, Carolina (55649334800); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Caranza-López, Liliana (59325507700); Quiñonez-Flórez, Andrea (59325857800); Chavarro-Mesa, Edisson (57188841051)",55258973100; 56674579200; 55649334800; 8693393400; 55851674100; 59325507700; 59325857800; 57188841051,"Cigarette butts, emerging residue on beaches and potential niche of microbiological resources",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203832068&doi=10.18687%2FLACCEI2024.1.1.830&partnerID=40&md5=a6428c33e4d925ff119a0f35b39b6d4d,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203832068,2-s2.0-85203832068,SQ,none,"['55258973100', '56674579200', '55649334800', '8693393400', '55851674100', '59325507700', '59325857800', '57188841051']",56674579200,ROSA LEONOR ACEVEDO BARRIOS,T00020729,CIENCIAS BÁSICAS
"Díaz-Mendoza, C.; Acevedo-Barrios, R.; Rubiano-Labrador, C.; Mouthón-Bello, J.; Botero, C.M.; Caranza-López, L.; Quiñonez-Flórez, A.; Chavarro-Mesa, E.","Díaz-Mendoza, Claudia (55258973100); Acevedo-Barrios, R. L. (56674579200); Rubiano-Labrador, Carolina (55649334800); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Caranza-López, Liliana (59325507700); Quiñonez-Flórez, Andrea (59325857800); Chavarro-Mesa, Edisson (57188841051)",55258973100; 56674579200; 55649334800; 8693393400; 55851674100; 59325507700; 59325857800; 57188841051,"Cigarette butts, emerging residue on beaches and potential niche of microbiological resources",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203832068&doi=10.18687%2FLACCEI2024.1.1.830&partnerID=40&md5=a6428c33e4d925ff119a0f35b39b6d4d,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203832068,2-s2.0-85203832068,SQ,none,"['55258973100', '56674579200', '55649334800', '8693393400', '55851674100', '59325507700', '59325857800', '57188841051']",55649334800,DIANA CAROLINA RUBIANO LABRADOR,T00049553,CIENCIAS BÁSICAS
"Díaz-Mendoza, C.; Acevedo-Barrios, R.; Rubiano-Labrador, C.; Mouthón-Bello, J.; Botero, C.M.; Caranza-López, L.; Quiñonez-Flórez, A.; Chavarro-Mesa, E.","Díaz-Mendoza, Claudia (55258973100); Acevedo-Barrios, R. L. (56674579200); Rubiano-Labrador, Carolina (55649334800); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Caranza-López, Liliana (59325507700); Quiñonez-Flórez, Andrea (59325857800); Chavarro-Mesa, Edisson (57188841051)",55258973100; 56674579200; 55649334800; 8693393400; 55851674100; 59325507700; 59325857800; 57188841051,"Cigarette butts, emerging residue on beaches and potential niche of microbiological resources",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203832068&doi=10.18687%2FLACCEI2024.1.1.830&partnerID=40&md5=a6428c33e4d925ff119a0f35b39b6d4d,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203832068,2-s2.0-85203832068,SQ,none,"['55258973100', '56674579200', '55649334800', '8693393400', '55851674100', '59325507700', '59325857800', '57188841051']",57188841051,EDISSON CHAVARRO MESA,T00053267,CIENCIAS BÁSICAS
"Gazabón Arrieta, F.; Cardenas-Escobar, A.Z.C.; Mendoza Díaz, A.; Ospina-Mateus, H.","Gazabón Arrieta, Fabian (57202852177); Cardenas-Escobar, Alba Zulay (57930948900); Mendoza Díaz, Armando (57931099400); Ospina-Mateus, Holman (57194034904)",57202852177; 57930948900; 57931099400; 57194034904,"Exploring Variations in Post-Pandemic Academic Performance, Case: Faculty of Engineering and Business School of the Universidad Tecnológica de Bolívar; Explorando Variaciones en el Desempeño Académico Post-Pandemia, Caso: Facultad de Ingeniería y Escuela de Negocios de la Universidad Tecnológica de Bolívar",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",,,,,,0,10.18687/LACCEI2024.1.1.1250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203831265&doi=10.18687%2FLACCEI2024.1.1.1250&partnerID=40&md5=556e587dec3f9befeaedf7259237f052,,9780999344316; 9786289520743; 9780999344361; 9789585207196; 9786289661309; 9780999344309; 9789585207189; 9789585207141; 9786289520774; 9786289520705,,Conference paper,Final,,Scopus,2-s2.0-85203831265,2-s2.0-85203831265,SQ,none,"['57202852177', '57930948900', '57931099400', '57194034904']",57194034904,HOLMAN OSPINA MATEUS,T00014261,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
