pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-105004348953,2025,SOME REMARKS ON ANOSOV FAMILIES,"Dynamics of Continuous, Discrete and Impulsive Systems Series A: Mathematical Analysis",12013390,,2-s2.0-105004348953,Q3,['CIENCIAS BÁSICAS'],['JEOVANNY DE JESUS MUENTES ACEVEDO']
2-s2.0-105004426668,2025,“The professionals weren’t from here”: provision of mental health services in the context of the Colombian armed conflict,Archives of Public Health,07787367,10.1186/s13690-025-01561-z,2-s2.0-105004426668,Q1,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['PABLO GUSTAVO SALOMO ABITBOL PINEIRO']
2-s2.0-105005275043,2025,Work Motivation in the Millennial Era: Exploring Internal and External Drivers in a Colombian Sample,Psychological Thought,,10.37708/psyct.v18i1.929,2-s2.0-105005275043,Q4,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['KAROL PATRICIA GUTIERREZ RUIZ']
2-s2.0-105005954971,2025,PROPOSED ARCHITECTURE FOR A PATIENT MANAGEMENT AND CLASSIFICATION SYSTEM IN THE TRIAGE PROCESS,IET Conference Proceedings,,10.1049/icp.2025.1256,2-s2.0-105005954971,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['CESAR AUGUSTO VILORIA NUÑEZ']
2-s2.0-105006705355,2025,Effect of Starch Variety and Environmental Conditions on the Aerobic Biodegradation of Citric Acid-Compatibilized Thermoplastic Starch/Polylactic Acid Blends,Polymers,,10.3390/polym17101295,2-s2.0-105006705355,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['MARY JUDITH ARIAS TAPIA']
2-s2.0-105007361101,2025,"Business Performance, Social Networks, and Workforce Mental Health in Post-COVID-19 Barranquilla, Colombia",IEEE Engineering Management Review,03608581,10.1109/EMR.2025.3575426,2-s2.0-105007361101,Q2,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['CESAR AUGUSTO VILORIA NUÑEZ']
2-s2.0-105007728920,2025,An Analytical Model for the Prediction of Emptying Processes in Single Water Pipelines,Applied Sciences (Switzerland),,10.3390/app15116000,2-s2.0-105007728920,Q2,['CIENCIAS BÁSICAS'],"['ALBERTO PATIÑO VANEGAS', 'CARLOS RAFAEL PAYARES GUEVARA', 'ENRIQUE PEREIRA BATISTA']"
2-s2.0-105007933720,2023,The Role of Associativity and its Relationship with the Performance of Organizations; El papel de la asociatividad y su relación con el desempeño de las organizaciones,Ciencia Tecnologia Agropecuaria,01228706,10.21930/rcta.vol24_num3_art:3122,2-s2.0-105007933720,Q4,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['JORGE LUIS DEL RIO CORTINA']
2-s2.0-105008182277,2025,COMMUNITY CINEMA AS A STRATEGY AGAINST VIOLENCE IN LATIN AMERICA Experience in a Vulnerable Urban Periphery,Street Art and Urban Creativity,21833869,10.25765/sauc.v11.5725,2-s2.0-105008182277,Q2,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['ADOLFO BALTAR MORENO']
2-s2.0-105008430466,2025,Optimizing treatment to control LDL cholesterol using machine learning,Computers in Biology and Medicine,00104825,10.1016/j.compbiomed.2025.110599,2-s2.0-105008430466,Q1,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['DAVID SIERRA PORTA']
2-s2.0-105009263283,2025,Assessment of Baseflow Separation Methods Used in the Estimations of Design-Related Storm Hydrographs Across Various Return Periods,Hydrology,,10.3390/hydrology12060158,2-s2.0-105009263283,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['RAFAEL DAVID MENDEZ ANILLO']
2-s2.0-105010266217,2025,DRIVING THE DEVELOPMENT OF ENERGY COMMUNITIES IN COLOMBIA: CHALLENGES AND OPPORTUNITIES FOR A DECENTRALIZED ENERGY TRANSITION; ESTÍMULO AO DESENVOLVIMENTO DE COMUNIDADES ENERGÉTICAS NA COLÔMBIA: DESAFIOS E OPORTUNIDADES PARA UMA TRANSIÇÃO ENERGÉTICA DESCENTRALIZADA; IMPULSANDO COMUNIDADES ENERGÉTICAS EN COLOMBIA: RETOS Y OPORTUNIDADES PARA UNA TRANSICIÓN ENERGÉTICA DESCENTRALIZADA,Habitat Sustentable,,10.22320/07190700.2025.15.01.01,2-s2.0-105010266217,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['JUAN CARLOS MARTINEZ SANTOS', 'JUAN GABRIEL FAJARDO CUADRO', 'MARIA FERNANDA MEDINA REYES']"
2-s2.0-105010313315,2025,Simulation and Optimisation Using a Digital Twin for Resilience-Based Management of Confined Aquifers,Water (Switzerland),,10.3390/w17131973,2-s2.0-105010313315,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['JOSE LUIS VILLA RAMIREZ', 'YADY TATIANA SOLANO CORREA']"
2-s2.0-105010515590,2025,Assessing the Impact of Language Virtual Exchange Approaches on Intercultural Competence Development Among University Students; valuer l impact des approches d change virtuel linguistique sur le d veloppement de la comp tence interculturelle chez des tudiants universitaires; Avalia o do impacto das abordagens de interc mbio virtual de idiomas no desenvolvimento da compet ncia intercultural entre estudantes universit rios; Medici n del impacto de los sistemas de intercambio virtual de lenguas sobre el desarrollo de la competencia intercultural en estudiantes universitarios,Ikala,01233432,10.17533/udea.ikala.355699,2-s2.0-105010515590,Q1,['CENTRO DE IDIOMAS'],['STEFANIA ARIAS CIFUENTES']
2-s2.0-105011497532,2025,International Mobility for Gender Equity and Multiculturalism in STEM: A Case Study Between Colombia and Spain,Lecture Notes in Educational Technology,21964963,10.1007/978-981-96-5658-5_54,2-s2.0-105011497532,SQ,"['CIENCIAS BÁSICAS', 'ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']","['SONIA HELENA CONTRERAS ORTIZ', 'VILMA VIVIANA OJEDA CAICEDO']"
2-s2.0-105011838057,2025,Geomagnetic disturbances and grid vulnerability: Correlating storm intensity with power system failures,PLOS ONE,,10.1371/journal.pone.0327716,2-s2.0-105011838057,Q1,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['DAVID SIERRA PORTA']
2-s2.0-105012767262,2025,"Temporal analysis of cigarette butt accumulation on a touristic beach in Cartagena, Colombia",Environmental Science and Pollution Research,09441344,10.1007/s11356-025-36752-2,2-s2.0-105012767262,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['CLAUDIA PATRICIA DIAZ MENDOZA']
2-s2.0-105012947038,2025,Enhancing consistency in piping and instrumentation diagrams using DistilBERT and smart PID systems,Systems and Soft Computing,,10.1016/j.sasc.2025.200373,2-s2.0-105012947038,Q2,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['EDWIN ALEXANDER PUERTAS DEL CASTILLO', 'JENIFER YORIS VASQUEZ AGUILAR']"
2-s2.0-105013662781,2026,Biogeochemical study of the periglacial slopes of the Nevado del Ruíz volcano (Colombia) as a terrestrial analog of Mars,Icarus,00191035,10.1016/j.icarus.2025.116783,2-s2.0-105013662781,Q1,['CIENCIAS BÁSICAS'],['ROSA LEONOR ACEVEDO BARRIOS']
