"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Saini, P.; Osorio, J.D.; Shah, M.P.; Patel, U.N.; Nelapudi, A.; Porto-Hernández, L.A.","Saini, Prashant (58622409300); Osorio, Julian D. (55538541600); Shah, Munjal Purnkant (58278698400); Patel, Umang N. (57384683400); Nelapudi, Akhil (59963703400); Porto-Hernández, Luis Ángel (57804909800)","58622409300; 55538541600; 58278698400; 57384683400; 59963703400; 57804909800","Nature-inspired lotus-shaped fins combined with hybrid nanoparticles and metal foam for high-performance latent heat thermal energy storage","2026","International Journal of Heat and Mass Transfer","255","","127897","","","0","0","10.1016/j.ijheatmasstransfer.2025.127897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017763405&doi=10.1016%2Fj.ijheatmasstransfer.2025.127897&partnerID=40&md5=34e1e8d6cc795a9630c3aa51f95f9ccc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017763405"
"Tobar-Subía-Contento, L.M.; Vargas, R.; Romero, L.A.; Contreras-Ortiz, S.H.","Tobar-Subía-Contento, Luz M. (57219781461); Vargas, Raúl (57117284600); Romero, Lenny A. (36142156300); Contreras-Ortiz, Sonia H. (57210822856)","57219781461; 57117284600; 36142156300; 57210822856","A Low Power Non-invasive Wrist-Based Approach for Glucose Monitoring","2026","Communications in Computer and Information Science","2392 CCIS","","","137","148","0","0","10.1007/978-3-031-98287-3_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016249780&doi=10.1007%2F978-3-031-98287-3_10&partnerID=40&md5=e7e3ffa044ce79e1c9f2aa5ef8cfb96a","Conference paper","Final","","Scopus","2-s2.0-105016249780"
"Leal, M.A.; Tovar Rodríguez, D.; De Pablo, M.A.; Bonilla, M.A.; Bolaños, J.; Ruíz, E.; Sánchez, J.; Buitrago, J.; Leone, G.; Tchegliakova, N.; Molina, A.; Martín, J.S.; Chacón, Z.; Abrevaya, X.; Vélez, F.; Torres, A.; Reyes, R.; Cancino-Escalante, G.; Acevedo-Barrios, R.","Leal, Maria Angélica (58310191500); Tovar Rodríguez, David F. (58310000000); De Pablo, Miguel Ángel (7003652519); Bonilla, M. A. (60054445900); Bolaños, J. (58602787700); Ruíz, E. (59476576300); Sánchez, J. (59158501400); Buitrago, Jeiner Y. (57223365087); Leone, Giovanni (56119288800); Tchegliakova, Nadejda (16640475100); Molina, Antonio (56817944000); Martín, J. San (60053814400); Chacón, Zoraida (56116389500); Abrevaya, X. C. (23102245500); Vélez, F. (60053972400); Torres, A. (60054759300); Reyes, R. (60053972500); Cancino-Escalante, Giovanni Orlando (55102731600); Acevedo-Barrios, R. L. (56674579200)","58310191500; 58310000000; 7003652519; 60054445900; 58602787700; 59476576300; 59158501400; 57223365087; 56119288800; 16640475100; 56817944000; 60053814400; 56116389500; 23102245500; 60053972400; 60054759300; 60053972500; 55102731600; 56674579200","Biogeochemical study of the periglacial slopes of the Nevado del Ruíz volcano (Colombia) as a terrestrial analog of Mars","2026","Icarus","443","","116783","","","0","0","10.1016/j.icarus.2025.116783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013662781&doi=10.1016%2Fj.icarus.2025.116783&partnerID=40&md5=2dbb914eab398a1fa3e80239f6ac0af7","Article","Final","","Scopus","2-s2.0-105013662781"
"Castilla-Caballero, D.; Martínez-Castro, V.; Colina-Márquez, J.; Machuca-Martínez, F.; Medina-Guerrero, A.","Castilla-Caballero, Deyler Rafael (57024211000); Martínez-Castro, Valentina (57753440800); Colina-Márquez, José A. (23484999200); Machuca-Martínez, Fiderman (35488117500); Medina-Guerrero, Astrid (59674123400)","57024211000; 57753440800; 23484999200; 35488117500; 59674123400","Incorporation of the GRG-optimization method in the design and simulation of solar falling-film slurry photocatalytic reactors operated under turbulent regime","2025","Applied Catalysis A: General","708","","120562","","","0","0","10.1016/j.apcata.2025.120562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015723252&doi=10.1016%2Fj.apcata.2025.120562&partnerID=40&md5=45e1c18b1a157ac51ff1b61b407aae26","Article","Final","","Scopus","2-s2.0-105015723252"
"Herrera-Acevedo, D.D.; Sierra-Porta, D.","Herrera-Acevedo, D. D. (59278790000); Sierra-Porta, D. (57191333650)","59278790000; 57191333650","Urban mobility insights: A dataset for exploring network topology and city dynamics","2025","Data in Brief","63","","112076","","","0","0","10.1016/j.dib.2025.112076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017120204&doi=10.1016%2Fj.dib.2025.112076&partnerID=40&md5=1ea5985408fa59c86c4885844f54b927","Data paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017120204"
"Gómez-Vega, F.S.; Acuña, O.; Camargo, A.C.; Jimenez, J.D.; Galeano, S.M.; Franco, I.E.; Lozano, L.L.; Vásquez, J.; Puertas, E.","Gómez-Vega, F. S. (60036445200); Acuña, O. (60036445300); Camargo, Andrea C. (60035839800); Jimenez, Jeison D. (60035987100); Galeano, Sara M. (60036445400); Franco, Isabella E. (60035839900); Lozano, Laura L. (60035376700); Vásquez, Jenifer (57205400052); Puertas, Edwin (57202285682)","60036445200; 60036445300; 60035839800; 60035987100; 60036445400; 60035839900; 60035376700; 57205400052; 57202285682","Enhancing consistency in piping and instrumentation diagrams using DistilBERT and smart PID systems","2025","Systems and Soft Computing","7","","200373","","","0","0","10.1016/j.sasc.2025.200373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012947038&doi=10.1016%2Fj.sasc.2025.200373&partnerID=40&md5=a53d4eb642384039b5808d9f3f147a04","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012947038"
"León, D.C.; Cano-Sierra, L.; Reyes-Rivera, M.-J.; Forero-García, S.L.; García-Padilla, D.; Abitbol, P.; Lopez-Lopez, W.","León, Diana Carolina Rubio (56491243500); Cano-Sierra, Laura (59360499800); Reyes-Rivera, María Juliana (59361500800); Forero-García, Sara Lucía (59360833800); García-Padilla, Dennys (58145290800); Abitbol, Pablo (58145499200); Lopez-Lopez, Wilson (58547918000)","56491243500; 59360499800; 59361500800; 59360833800; 58145290800; 58145499200; 58547918000","“The professionals weren’t from here”: provision of mental health services in the context of the Colombian armed conflict","2025","Archives of Public Health","83","1","123","","","0","0","10.1186/s13690-025-01561-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004426668&doi=10.1186%2Fs13690-025-01561-z&partnerID=40&md5=737db3d8b328a3d7e218be8683ddb1e6","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105004426668"
"Díaz-Mendoza, C.; Mouthón-Bello, J.; Botero, C.M.; Acevedo-Barrios, R.; Gutierrez, L.","Díaz-Mendoza, Claudia (55258973100); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Acevedo-Barrios, R. L. (56674579200); Gutierrez, Leonardo A. (35186188000)","55258973100; 8693393400; 55851674100; 56674579200; 35186188000","Microbiological analysis of cigarette butts and cigarette butt fibers on a tourist beach in Cartagena, Colombia","2025","Scientific Reports","15","1","14510","","","0","1","10.1038/s41598-025-91488-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003811483&doi=10.1038%2Fs41598-025-91488-w&partnerID=40&md5=0f936df5c795b48cee4cfe804bac1dcf","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003811483"
"Cordeiro, S.G.F.; Birro, T.V.; Quispe Rodríguez, R.Q.; de Albuquerque, E.L.; Campos, L.S.; Vivero, J.F.U.; Paroissien, É.; Aufray, M.; Lachaud, F.","Cordeiro, Sergio Gustavo Ferreira (56277871900); Birro, Thiago V. (57217165394); Quispe Rodríguez, René Quispe (55014207300); de Albuquerque, Eder Lima (57214163750); Campos, Lucas Silveira (57194159814); Vivero, Jairo Francisco Useche (60107868800); Paroissien, Éric (16231226800); Aufray, Maëlenn (15924862300); Lachaud, Frédéric A. (55942789400)","56277871900; 57217165394; 55014207300; 57214163750; 57194159814; 60107868800; 16231226800; 15924862300; 55942789400","Comparative analysis of adhesive debonding in three-point bending tests using boundary element methods: Coupled criterion versus interface damage model","2025","Engineering Analysis with Boundary Elements","180","","106474","","","0","0","10.1016/j.enganabound.2025.106474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016551055&doi=10.1016%2Fj.enganabound.2025.106474&partnerID=40&md5=c64c638aacbc0f5f7830883363d36ef5","Article","Final","","Scopus","2-s2.0-105016551055"
"Narváez, A.; Useche, J.","Narváez, Alexander J. (57224404584); Useche, J. F. (24537991200)","57224404584; 24537991200","Fast computation of 3D domain integrals in boundary element methods using meshless integration methods: Application to Poisson's equation","2025","Engineering Analysis with Boundary Elements","179","","106430","","","0","0","10.1016/j.enganabound.2025.106430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013839047&doi=10.1016%2Fj.enganabound.2025.106430&partnerID=40&md5=f48ef3ce363dbec7d0903f9bcce922e5","Article","Final","","Scopus","2-s2.0-105013839047"
"Patiño, A.; Guevara, C.R.; Pereira-Batista, E.; Coronado-Hernández, O.E.; Fuertes-Miquel, V.S.","Patiño, Alberto (57190688459); Guevara, Carlos R.Payares (57219506381); Pereira-Batista, Enrique (60114942300); Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882)","57190688459; 57219506381; 60114942300; 57193337460; 6507312882","Analytical Modelling of Water Pipeline Start-Up Processes","2025","Fluids","10","9","242","","","0","0","10.3390/fluids10090242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017060801&doi=10.3390%2Ffluids10090242&partnerID=40&md5=56d382102c076bc77c08d6a0d47f7d75","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017060801"
"Martínez-Trespalacios, J.A.; Barile, D.A.; Millan-Gandara, J.L.; Useche, J.; Otero, A.D.","Martínez-Trespalacios, J. A. (57218161727); Barile, D. A. (58401819600); Millan-Gandara, John L. (60092820800); Useche, J. F. (24537991200); Otero, Alejandro D. (36729619200)","57218161727; 58401819600; 60092820800; 24537991200; 36729619200","Combined Effect of ABL Profile and Rotation in Wind Turbine Wakes: New Three-Dimensional Wake Mode","2025","Energies","18","17","4726","","","0","0","10.3390/en18174726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015372289&doi=10.3390%2Fen18174726&partnerID=40&md5=c65322464a38c0de2fc7ca7785c6705f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105015372289"
"Benjumea, E.; Vargas, R.; Quintero, F.; Juarez-Salazar, R.; Marrugo, A.G.","Benjumea, Eberto (57195681584); Vargas, Raúl (57117284600); Quintero, Fernando J. (57221475394); Juarez-Salazar, Rigoberto (35784596800); Marrugo, Andrés G. (24329839300)","57195681584; 57117284600; 57221475394; 35784596800; 24329839300","Calibration of multimodal 3D structured-light systems using digital features","2025","Applied Optics","64","25","","7333","7343","0","0","10.1364/AO.569536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014601429&doi=10.1364%2FAO.569536&partnerID=40&md5=39b8f0661c079ccd0c944649aa7592a9","Article","Final","","Scopus","2-s2.0-105014601429"
"Yepez, D.B.; Sierra-Porta, D.; Aguas, L.M.; Jattin, F.M.","Yepez, Deiby Boneu (59952122700); Sierra-Porta, D. (57191333650); Aguas, Liz Morales (59952159100); Jattin, Fernando Manzur (57488328300)","59952122700; 57191333650; 59952159100; 57488328300","Optimizing treatment to control LDL cholesterol using machine learning","2025","Computers in Biology and Medicine","195","","110599","","","0","0","10.1016/j.compbiomed.2025.110599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008430466&doi=10.1016%2Fj.compbiomed.2025.110599&partnerID=40&md5=94acd2078200d499e13dbbc00993cb73","Article","Final","","Scopus","2-s2.0-105008430466"
"Bustamante Visbal, J.P.; Ortega-Toro, R.; Hernández-Fernández, J.A.","Bustamante Visbal, Juan Pablo (60074688200); Ortega-Toro, Rodrigo (59662798800); Hernández-Fernández, Joaquín Alejandro (57210432772)","60074688200; 59662798800; 57210432772","Application of Risk Management in Applied Engineering Projects in a Petrochemical Plant Producing Polyvinyl Chloride in Cartagena, Colombia","2025","ChemEngineering","9","4","75","","","0","0","10.3390/chemengineering9040075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014344453&doi=10.3390%2Fchemengineering9040075&partnerID=40&md5=9d851ada5e1f83da2aac944c25e03166","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014344453"
"Juarez-Salazar, R.; Vega, F.; Esquivel-Hernandez, S.; Diaz-Ramirez, V.H.; Marrugo, A.G.","Juarez-Salazar, Rigoberto (35784596800); Vega, Fabio Andrés Varón (55571476800); Esquivel-Hernandez, Sofia (57315334200); Diaz-Ramirez, Victor H. (8855846100); Marrugo, Andrés G. (24329839300)","35784596800; 55571476800; 57315334200; 8855846100; 24329839300","Phase feedback fringe projection profilometry for shiny objects","2025","Optics and Lasers in Engineering","191","","109013","","","0","1","10.1016/j.optlaseng.2025.109013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002153102&doi=10.1016%2Fj.optlaseng.2025.109013&partnerID=40&md5=5c4a7db735c5847fc0faef7600f1cc37","Article","Final","","Scopus","2-s2.0-105002153102"
"de la Ossa, E.D.; Quintana, C.A.P.; Zuleta, L.P.; Romero, V.A.","de la Ossa, Elsy Domínguez (57223851529); Quintana, Camilo Andrés Pastrana (60144692500); Zuleta, Linda Pérez (60144606400); Romero, Valeri Arrieta (60144606500)","57223851529; 60144692500; 60144606400; 60144606500","Narratives about the implementation of a psychosocial care program for survivors of the Colombian armed conflict; Narrativas de los funcionarios de un programa de atención psicosocial a sobrevivientes del conflicto armado colombiano","2025","Interdisciplinaria","42","2","","553","576","0","0","10.16888/interd.2025.42.2.26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018948069&doi=10.16888%2Finterd.2025.42.2.26&partnerID=40&md5=28ef15cedf401b74b892231c273bd904","Article","Final","","Scopus","2-s2.0-105018948069"
"Rodas-Vera, N.M.; Yucra-Camposano, J.; Jeison David, J.D.; de la Cruz, E.B.","Rodas-Vera, Nikolai Martin (57210914020); Yucra-Camposano, Jennifer Fiorella (57694618300); Jeison David, Neira Salas (59497527300); de la Cruz, Eddy Barrera (60144270000)","57210914020; 57694618300; 59497527300; 60144270000","The freedom in Couple Relationship Scale: Initial validation in Peruvian women; Escala de Libertad en la Relación de Pareja: Validación inicial en mujeres peruanas","2025","Interdisciplinaria","42","2","","507","530","0","0","10.16888/interd.2025.42.2.24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018947048&doi=10.16888%2Finterd.2025.42.2.24&partnerID=40&md5=0c336711f8c0d850b8826ed4299f9e5a","Article","Final","","Scopus","2-s2.0-105018947048"
"Monroy-Licht, A.; Martínez-Burgos, W.J.; De Carvalho, J.C.; Cavali, M.; Woiciechowski, A.L.; Karp, S.G.; Soccol, C.R.; De la Parra-Guerra, A.C.; Pozzan, R.; Acevedo-Barrios, R.","Monroy-Licht, Andrea (57456149600); Martínez-Burgos, Walter José (57210159813); De Carvalho, Júlio Cesar (9244670900); Cavali, Matheus (57215494996); Woiciechowski, A. L. (6507125714); Karp, Susan Grace (23989173100); Soccol, Carlos Ricardo (7004252959); De la Parra-Guerra, A. C. (57192208583); Pozzan, Roberta (58790949200); Acevedo-Barrios, R. L. (56674579200)","57456149600; 57210159813; 9244670900; 57215494996; 6507125714; 23989173100; 7004252959; 57192208583; 58790949200; 56674579200","Biological approaches to mitigate heavy metal pollution from battery production effluents: advances, challenges, and perspectives","2025","Environmental Science and Pollution Research","32","35","","20844","20878","0","0","10.1007/s11356-025-36792-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015050458&doi=10.1007%2Fs11356-025-36792-8&partnerID=40&md5=8a0c7983a34290785cd13b56eb5f2cbf","Review","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015050458"
"Fábregas Villegas, J.F.; Palencia Díaz, A.P.","Fábregas Villegas, Jonathan (57353034200); Palencia Díaz, Argemiro (56801043600)","57353034200; 56801043600","The significance of clean energy, education, and environmental management in fostering a sustainable future","2025","Global Journal of Environmental Science and Management","11","3","","1001","1018","0","0","10.22034/gjesm.2025.03.08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014804906&doi=10.22034%2Fgjesm.2025.03.08&partnerID=40&md5=1536cba7a00acf314057158d0ac48c14","Article","Final","","Scopus","2-s2.0-105014804906"
"Díaz-Mendoza, C.; Mouthón-Bello, J.; Botero, C.M.; Villegas, J.V.; Gutierrez, L.","Díaz-Mendoza, Claudia (55258973100); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Villegas, Juan Valdelamar (60032159700); Gutierrez, Leonardo A. (35186188000)","55258973100; 8693393400; 55851674100; 60032159700; 35186188000","Temporal analysis of cigarette butt accumulation on a touristic beach in Cartagena, Colombia","2025","Environmental Science and Pollution Research","32","33","","19712","19724","0","0","10.1007/s11356-025-36752-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012767262&doi=10.1007%2Fs11356-025-36752-2&partnerID=40&md5=ef6c31d253c8cb45dfae0199fae0c054","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012767262"
"Figueroa, M.G.; Acevedo, D.D.H.; Sierra-Porta, D.","Figueroa, Mauro González (60016883200); Acevedo, D. D.Herrera (58544189400); Sierra-Porta, D. (57191333650)","60016883200; 58544189400; 57191333650","Geomagnetic disturbances and grid vulnerability: Correlating storm intensity with power system failures","2025","PLOS ONE","20","7 July","e0327716","","","0","0","10.1371/journal.pone.0327716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011838057&doi=10.1371%2Fjournal.pone.0327716&partnerID=40&md5=4fe854b08b8c480f00d5139c7277801d","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105011838057"
"Gómez-Reyes, F.M.; Catalá-Pérez, D.; Miguel-Molina, M.D.; Manrique-Hernandez, J.","Gómez-Reyes, Flor Marleny (59998877700); Catalá-Pérez, Daniel (57217227781); Miguel-Molina, María De (59998979600); Manrique-Hernandez, Johanna (58906104700)","59998877700; 57217227781; 59998979600; 58906104700","COMPARATIVE ANALYSIS OF THE IMPACT OF CULTURAL AND CREATIVE INDUSTRIES ON GDP AND EMPLOYMENT: A CASE STUDY OF GERMANY AND SPAIN; Análise comparativa do impacto das indústrias culturais e criativas no PIB e no emprego: um estudo de caso da Alemanha e da Espanha; Análisis comparativo del impacto de las industrias culturales y creativas en el PIB y el empleo: un estudio de caso de Alemania y España","2025","Revista de Economia Institucional","27","53","","297","337","0","0","10.18601/01245996.v27n53.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010776140&doi=10.18601%2F01245996.v27n53.12&partnerID=40&md5=e32b7001e3cbe00a7b844930f540b7cc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010776140"
"Cohen-Manrique, C.S.; Villa-Ramírez, J.L.; Camacho-Leon, S.; Solano-Correa, Y.T.; Alvarez-Month, A.A.; Coronado-Hernández, O.E.","Cohen-Manrique, Carlos (57203340249); Villa-Ramírez, José Luis (59985633600); Camacho-Leon, Sergio (36974988200); Solano-Correa, Yady Tatiana (57156565000); Alvarez-Month, Alex A. (59300326000); Coronado-Hernández, Oscar E. (57193337460)","57203340249; 59985633600; 36974988200; 57156565000; 59300326000; 57193337460","Simulation and Optimisation Using a Digital Twin for Resilience-Based Management of Confined Aquifers","2025","Water (Switzerland)","17","13","1973","","","0","0","10.3390/w17131973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010313315&doi=10.3390%2Fw17131973&partnerID=40&md5=58a5e372075e6d2ebbd5e0de03be5d65","Article","Final","","Scopus","2-s2.0-105010313315"
"Acevedo, J.M.; Romaña, S.; de Jesus Arias Cantillo, R.","Acevedo, Jeovanny Muentes (57350116000); Romaña, Sergio (57217530823); de Jesus Arias Cantillo, Raibel (58032467600)","57350116000; 57217530823; 58032467600","Density of the Level Sets of the Metric Mean Dimension for Homeomorphisms","2025","Journal of Dynamics and Differential Equations","37","2","","1965","1978","0","1","10.1007/s10884-023-10344-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184473223&doi=10.1007%2Fs10884-023-10344-5&partnerID=40&md5=c9290ecbdc58c71dd79d55b3323db39e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184473223"
"Medina-Reyes, M.F.; Fajardo Cuadro, J.G.; Martinez-Santos, J.C.","Medina-Reyes, María Fernanda (57221229836); Fajardo Cuadro, Juan Gabriel (56581610900); Martinez-Santos, Juan Carlos (26325154200)","57221229836; 56581610900; 26325154200","DRIVING THE DEVELOPMENT OF ENERGY COMMUNITIES IN COLOMBIA: CHALLENGES AND OPPORTUNITIES FOR A DECENTRALIZED ENERGY TRANSITION; ESTÍMULO AO DESENVOLVIMENTO DE COMUNIDADES ENERGÉTICAS NA COLÔMBIA: DESAFIOS E OPORTUNIDADES PARA UMA TRANSIÇÃO ENERGÉTICA DESCENTRALIZADA; IMPULSANDO COMUNIDADES ENERGÉTICAS EN COLOMBIA: RETOS Y OPORTUNIDADES PARA UNA TRANSICIÓN ENERGÉTICA DESCENTRALIZADA","2025","Habitat Sustentable","15","1","","10","19","0","0","10.22320/07190700.2025.15.01.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010266217&doi=10.22320%2F07190700.2025.15.01.01&partnerID=40&md5=113e516e14b67bd9b1d660bb87a37f81","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010266217"
"Coronado-Hernández, O.E.; Méndez-Anillo, R.D.; Saba, M.","Coronado-Hernández, Oscar E. (57193337460); Méndez-Anillo, Rafael D. (57903699900); Saba, Manuel (57200521421)","57193337460; 57903699900; 57200521421","Assessment of Baseflow Separation Methods Used in the Estimations of Design-Related Storm Hydrographs Across Various Return Periods","2025","Hydrology","12","6","158","","","0","0","10.3390/hydrology12060158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009263283&doi=10.3390%2Fhydrology12060158&partnerID=40&md5=9639a21b132f0f28330dcfa136ab23cd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105009263283"
"Guevara, C.R.; Patiño, A.; Pereira Batista, E.; Coronado-Hernández, O.E.; Fuertes-Miquel, V.S.","Guevara, Carlos R.Payares (57219506381); Patiño, Alberto (57190688459); Pereira Batista, Enrique (57189892062); Coronado-Hernández, Oscar E. (57193337460); Fuertes-Miquel, Vicente S. (6507312882)","57219506381; 57190688459; 57189892062; 57193337460; 6507312882","An Analytical Model for the Prediction of Emptying Processes in Single Water Pipelines","2025","Applied Sciences (Switzerland)","15","11","6000","","","0","1","10.3390/app15116000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007728920&doi=10.3390%2Fapp15116000&partnerID=40&md5=46ae510ccf8d0f913176348649f9cf21","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007728920"
"Rios, Y.Y.; Acevedo-Patĩno, O.; García, L.L.","Rios, Y. Yuliana (57204642964); Acevedo-Patĩno, Oscar (57197327858); García, Luis Luis (58399544800)","57204642964; 57197327858; 58399544800","Robot swarm aggregation using an improved Beeclust method","2025","International Journal of Intelligent Robotics and Applications","9","2","","804","814","0","0","10.1007/s41315-025-00442-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004180695&doi=10.1007%2Fs41315-025-00442-6&partnerID=40&md5=7920f7b47bd940903e14410f5a4a56dd","Article","Final","","Scopus","2-s2.0-105004180695"
"Castilla-Caballero, D.; Medina-Guerrero, A.; Hernández-Ramírez, A.; Vazquez-Rodriguez, S.; Colina-Márquez, J.; Machuca-Martínez, F.; Barraza-Burgos, J.; Roa-Espinosa, A.; Gunasekaran, S.","Castilla-Caballero, Deyler Rafael (57024211000); Medina-Guerrero, Astrid (59351819200); Hernández-Ramírez, A. (57199644727); Vazquez-Rodriguez, Sofia (56000886200); Colina-Márquez, José A. (23484999200); Machuca-Martínez, Fiderman (35488117500); Barraza-Burgos, Juan Manuel (57204866197); Roa-Espinosa, Aicardo (6506275757); Gunasekaran, Sundaram (7101998337)","57024211000; 59351819200; 57199644727; 56000886200; 23484999200; 35488117500; 57204866197; 6506275757; 7101998337","Use of a 416B-type central-hybrid experimental design to evaluate the synthesis conditions of TiO2/biochar composites on the solid-state photocatalytic degradation of polypropylene-plastic films","2025","Applied Catalysis A: General","697","","120196","","","0","0","10.1016/j.apcata.2025.120196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000303183&doi=10.1016%2Fj.apcata.2025.120196&partnerID=40&md5=8747c57fb94f1cdf9066babd369a7432","Article","Final","","Scopus","2-s2.0-86000303183"
"Moreno-Bohorquez, E.; Arias Tapia, M.J.; Martinez Villadiego, K.; Rhenals-Julio, J.D.; Jaramillo, A.F.","Moreno-Bohorquez, Elizabeth (59919102900); Arias Tapia, Mary Judith (57219403758); Martinez Villadiego, Keydis (57219398941); Rhenals-Julio, Jesús D. (58181121400); Jaramillo, Andrés Felipe (56927920300)","59919102900; 57219403758; 57219398941; 58181121400; 56927920300","Effect of Starch Variety and Environmental Conditions on the Aerobic Biodegradation of Citric Acid-Compatibilized Thermoplastic Starch/Polylactic Acid Blends","2025","Polymers","17","10","1295","","","0","0","10.3390/polym17101295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006705355&doi=10.3390%2Fpolym17101295&partnerID=40&md5=84cb8b0e5da5457c0023f21641b5e931","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105006705355"
"Diaz-Granados, M.S.C.; Prieto Flórez, J.M.","Diaz-Granados, Meliyara Sirex Consuegra (59973080700); Prieto Flórez, Javier Mauricio (59972919000)","59973080700; 59972919000","Assessing Innovative Performance Through Absorptive Capacity by Introducing Organizational Characteristics; Avaliação do desempenho inovador por meio da capacidade de absorção com a introdução de características organizacionais; Evaluación del desempeño innovador a través de la capacidad de absorción introduciendo características organizacionales","2025","Estudios Gerenciales","41","174","","66","77","0","0","10.18046/j.estger.2025.174.6974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009627396&doi=10.18046%2Fj.estger.2025.174.6974&partnerID=40&md5=7eb78e7345cb5230afafeb90634184f3","Article","Final","","Scopus","2-s2.0-105009627396"
"Díaz, N.; Peñaloza, Y.C.; Rios, Y.Y.; Martinez-Santos, J.C.; Puertas, E.","Díaz, Nicolás Hernández (57220077564); Peñaloza, Yersica C. (57580976200); Rios, Y. Yuliana (57204642964); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)","57220077564; 57580976200; 57204642964; 26325154200; 57202285682","A computer vision system for detecting motorcycle violations in pedestrian zones","2025","Multimedia Tools and Applications","84","13","","12659","12682","0","0","10.1007/s11042-024-19356-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004062939&doi=10.1007%2Fs11042-024-19356-9&partnerID=40&md5=1ccf998d5d7ee209a8522b6ff70996de","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105004062939"
